,Pull_date,Sentiment_Vader,Sentiment_TextBlob,Average_Sentiment
0,2024-09-09 18:59:56.182618,0.2927176031824962,0.1160485935045531,0.2043830983435247
1,2024-09-11 11:11:05.111612,0.2554529470198675,0.1081606051303267,0.1818067760750971
2,2024-09-11 12:17:03.863057,0.2488091392489199,0.1140974852198263,0.1814533122343731
3,2024-09-12 00:48:09.623790,0.2769378404988513,0.1133304510137635,0.1951341457563074
4,2024-09-12 12:17:00.737776,0.2430312743823147,0.1018112357415367,0.1724212550619256
5,2024-09-13 00:47:59.792180,0.2875839262187088,0.1086859193556013,0.198134922787155
6,2024-09-13 12:16:43.948376,0.2861894615889691,0.1104103141177768,0.198299887853373
7,2024-09-14 00:47:24.082006,0.2761567925778661,0.1044289338227302,0.1902928632002981
8,2024-09-14 12:15:38.295232,0.2776881070366699,0.1036138520754104,0.1906509795560402
9,2024-09-15 00:54:38.317131,0.2892153618421053,0.1135344888850409,0.2013749253635731
10,2024-09-15 12:15:37.556814,0.2873215106732348,0.1138034989393768,0.2005625048063058
11,2024-09-16 00:52:17.576931,0.2781076642335766,0.1106764138070743,0.1943920390203255
12,2024-09-16 12:18:47.428544,0.2477293593130779,0.1038279217020793,0.1757786405075786
13,2024-09-17 00:42:43.097032,0.2212521108179419,0.0946786190869975,0.1579653649524697
14,2024-09-17 12:17:31.205866,0.2721721381578947,0.0975716343646505,0.1848718862612726
15,2024-09-18 00:48:24.547856,0.2539355988122732,0.1063219512017113,0.1801287750069922
16,2024-09-18 12:17:19.225409,0.2614320593080724,0.0997689410235961,0.1806005001658343
17,2024-09-19 00:49:29.883075,0.2579149410222804,0.0998555358035743,0.1788852384129273
18,2024-09-19 12:17:53.531067,0.2585545663600526,0.1026137281616489,0.1805841472608507
19,2024-09-20 00:49:19.699911,0.2341302241265656,0.0975069391149761,0.1658185816207708
20,2024-09-20 12:18:07.563845,0.3027844224422442,0.1160916677940872,0.2094380451181657
21,2024-09-21 00:48:11.134365,0.2959723809523809,0.1125570007416977,0.2042646908470393
22,2024-09-21 12:15:29.879987,0.2888078825857519,0.1154224426747268,0.2021151626302393
23,2024-09-22 00:54:53.223779,0.3011157043879907,0.1167671707585533,0.208941437573272
24,2024-09-22 12:15:55.539224,0.2777871127224786,0.1187285269520066,0.1982578198372426
25,2024-09-23 00:51:33.592417,0.2746847039473684,0.1159692568314077,0.195326980389388
26,2024-09-23 12:18:30.356340,0.2976264107611548,0.1160779019400629,0.2068521563506088
27,2024-09-24 00:51:22.511018,0.27896874180865,0.1050280369496897,0.1919983893791699
28,2024-09-24 12:18:14.622873,0.2728907571288102,0.1021632162528079,0.187526986690809
29,2024-09-25 00:52:06.727898,0.2661796977660972,0.1069524234467551,0.1865660606064261
30,2024-09-25 12:18:23.208958,0.2816399537343027,0.1184354134255915,0.2000376835799471
31,2024-09-26 00:50:53.097819,0.2966004593175853,0.1143141073196732,0.2054572833186292
32,2024-09-26 12:18:27.254957,0.2963748687664042,0.1180527302762258,0.207213799521315
33,2024-09-27 00:51:24.728687,0.314290780839895,0.1295710416194508,0.2219309112296729
34,2024-09-27 12:18:13.408886,0.305748949441891,0.126498202751707,0.216123576096799
35,2024-09-28 00:50:59.268410,0.3009382614422127,0.1264149066218236,0.2136765840320181
36,2024-09-28 12:16:05.206910,0.2989439669421487,0.1378912278187556,0.2184175973804522
37,2024-09-29 00:55:56.735574,0.3186796161482462,0.1280292581685173,0.2233544371583817
38,2024-09-29 12:16:39.634907,0.2969399405351833,0.1252798440978476,0.2111098923165155
39,2024-09-30 00:53:20.239488,0.3041769664785927,0.1101725622728247,0.2071747643757087
40,2024-09-30 12:19:10.117012,0.3134335418038182,0.1124944906703067,0.2129640162370625
41,2024-10-01 00:56:41.127915,0.3022195315077532,0.1094729410566824,0.2058462362822178
42,2024-10-01 12:18:46.515155,0.3053996723460026,0.1074108311443366,0.2064052517451696
43,2024-10-02 00:51:20.855364,0.2405241515650741,0.120894166087255,0.1807091588261646
44,2024-10-02 12:18:33.127042,0.2143518080210388,0.1096189724945622,0.1619853902578005
45,2024-10-03 00:51:26.273348,0.2353912570108875,0.1050186797786277,0.1702049683947576
46,2024-10-03 12:18:09.731372,0.2293823104693141,0.1092404020746246,0.1693113562719693
47,2024-10-04 00:51:30.396855,0.2325704202232436,0.1092394819300229,0.1709049510766332
48,2024-10-04 12:17:58.435056,0.2640936002625533,0.1133412549439722,0.1887174276032627
49,2024-10-05 00:50:48.982004,0.2206851839684625,0.1131432214306611,0.1669142026995618
50,2024-10-05 12:16:47.298535,0.2471084404879657,0.1233950407108166,0.1852517405993911
51,2024-10-06 00:55:30.754863,0.2361157681940701,0.1345222595400547,0.1853190138670624
52,2024-10-06 12:16:33.085974,0.2634783140495867,0.1390527664651518,0.2012655402573693
53,2024-10-07 00:53:20.927025,0.2456473472128945,0.1256810970563859,0.1856642221346402
54,2024-10-07 12:19:03.767293,0.2778339834710744,0.111455489859838,0.1946447366654562
55,2024-10-08 00:51:15.201155,0.2883180317040951,0.1175981573373591,0.2029580945207271
56,2024-10-08 12:18:20.896859,0.2954872452333991,0.1220489059988493,0.2087680756161242
57,2024-10-09 00:51:10.875449,0.2574231731402238,0.1204815442599488,0.1889523587000863
58,2024-10-09 12:18:05.016333,0.2895961816984858,0.137755250175784,0.2136757159371349
59,2024-10-10 00:51:11.449013,0.2166033707865168,0.1124209253868746,0.1645121480866957
60,2024-10-10 12:17:56.362287,0.2395447254575707,0.1051915306589773,0.172368128058274
